epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,17223.5,1.13207,0.67246,1.13598,0.82617,0.75324,0.83907,0.50781,1.39004,0.8864,1.31213,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,17772.2,1.10362,0.64143,1.11982,0.82558,0.7531,0.83979,0.50874,1.38993,0.8857,1.3129,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,18320.4,1.07902,0.62026,1.10584,0.829,0.75063,0.8398,0.50969,1.38972,0.88307,1.314,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,18868.9,1.05962,0.59905,1.09351,0.81993,0.75767,0.83872,0.51,1.3905,0.88057,1.3159,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,19417.4,1.0355,0.57996,1.0789,0.8202,0.75922,0.83904,0.51008,1.39143,0.87957,1.31764,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,19966.4,1.01663,0.56435,1.06966,0.8237,0.75792,0.83838,0.51006,1.39155,0.87864,1.31919,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,20515.4,0.99227,0.54523,1.05642,0.81961,0.75931,0.83775,0.50969,1.39319,0.87742,1.32106,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,21064.3,0.9733,0.52961,1.04697,0.81583,0.76255,0.837,0.50925,1.39424,0.87639,1.32266,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,21612.8,0.95263,0.51248,1.03482,0.81399,0.76823,0.83649,0.50954,1.39669,0.87561,1.32615,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,22161.6,0.93869,0.50429,1.02976,0.81734,0.76749,0.83544,0.50891,1.39726,0.8747,1.32758,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
