epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,11558.4,1.2796,0.83831,1.24003,0.80445,0.74346,0.82883,0.49519,1.39999,0.95836,1.32789,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,11920.4,1.25496,0.80591,1.22185,0.80397,0.74594,0.82869,0.49568,1.4007,0.95473,1.32832,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,12282.6,1.23744,0.7917,1.21382,0.80132,0.74758,0.82983,0.49644,1.39983,0.95017,1.32805,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,12645,1.22004,0.76405,1.19669,0.81525,0.74089,0.83126,0.4975,1.3993,0.94693,1.32787,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,13007.1,1.20657,0.74939,1.1887,0.81189,0.74308,0.8313,0.49791,1.40004,0.94353,1.32777,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,13369.6,1.18869,0.73375,1.17983,0.81406,0.74159,0.83188,0.49808,1.40096,0.94147,1.3284,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,13731.4,1.16945,0.71535,1.17195,0.81534,0.7424,0.83163,0.49855,1.40182,0.93885,1.32894,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,14093.7,1.1575,0.6981,1.16142,0.81655,0.74351,0.8315,0.49903,1.40248,0.93652,1.33008,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,14455.7,1.14047,0.68005,1.14857,0.823,0.73879,0.83239,0.49998,1.40345,0.93398,1.331,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,14817.9,1.12744,0.67042,1.14262,0.8253,0.73585,0.83285,0.50015,1.40407,0.93207,1.33227,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
